Comprador : Empresa;Valor Custo Líquido;Despesa Venda;Tot.Impostos s/ Venda;Estoque Gerencial
REGINALDO;1.341.658,38;314.691,13;72.706,69;1.729.056,20
01-MATRIZ;289.494,78;72.950,66;40.594,11;403.039,55
02-S.MIGUEL;128.468,08;29.015,75;13.071,91;170.555,74
03-LIMOEIRO;184.143,06;42.821,21;-136,46;226.827,81
04-QUIXADA;356.082,76;81.162,52;-196,58;437.048,70
05-ACU;277.774,09;64.061,32;19.417,56;361.252,97
07 - MORADA;106.143,97;24.679,67;47,61;130.871,25
600-CD;-448,37;0;-91,46;-539,83
RENATO;10.914.947,51;2.565.487,89;1.818.701,20;15.299.136,60
01-MATRIZ;2.769.672,46;716.657,31;834.283,78;4.320.613,55
02-S.MIGUEL;965.176,41;246.839,74;293.875,89;1.505.892,04
03-LIMOEIRO;1.865.637,96;415.377,36;116.033,23;2.397.048,55
04-QUIXADA;2.818.700,02;612.438,32;111.934,23;3.543.072,57
05-ACU;1.220.160,66;315.544,52;395.649,87;1.931.355,05
07 - MORADA;1.164.664,30;258.630,64;56.737,72;1.480.032,66
600-CD;110.935,70;0;10.186,48;121.122,18
SEBASTIAO;6.519.965,97;1.530.440,05;1.558.096,29;9.608.502,31
01-MATRIZ;1.558.029,77;409.995,44;597.857,58;2.565.882,79
02-S.MIGUEL;859.334,30;230.867,43;367.806,08;1.458.007,81
03-LIMOEIRO;1.078.844,62;232.787,41;84.430,13;1.396.062,16
04-QUIXADA;1.086.752,62;235.253,70;84.764,38;1.406.770,70
05-ACU;875.050,43;230.614,02;350.554,07;1.456.218,52
07 - MORADA;869.692,62;190.922,05;68.618,58;1.129.233,25
600-CD;192.261,61;0;4.065,47;196.327,08
VINICIUS;279.358,54;10.243,65;11.720,64;301.322,83
01-MATRIZ;42.111,34;2.551,07;4.974,58;49.636,99
02-S.MIGUEL;2.776,66;-127,16;-243,76;2.405,74
03-LIMOEIRO;45.238,68;1.613,69;2.581,11;49.433,48
04-QUIXADA;30.184,38;2.654,58;1.780,17;34.619,13
05-ACU;4.365,49;-57,23;-37,23;4.271,03
07 - MORADA;40.218,38;3.608,70;2.771,40;46.598,48
600-CD;114.463,61;0;-105,63;114.357,98
